h_entity,t_entity,relation
4989,870,0
4910,1143,0
5062,1574,0
4713,1100,0
4670,1496,0
4839,1301,0
2641,1141,0
2011,1212,0
2988,1548,0
4707,1112,0
4075,471,0
2081,1271,0
5303,991,0
5132,713,0
2289,1047,0
4390,445,0
3580,795,0
5122,1029,0
2087,2,0
3828,771,0
4794,386,0
3142,1500,0
4108,1414,0
3779,742,0
2452,802,0
4964,1301,0
3597,445,0
4364,510,0
5303,206,0
3086,1429,0
4878,68,0
1884,142,0
4414,769,0
1660,1333,0
2985,1574,0
2708,867,0
4809,1368,0
2197,19,0
4076,1265,0
4649,1075,0
1883,1496,0
4958,876,0
2505,917,0
3881,1580,0
3018,1044,0
4088,1019,0
2714,112,0
2800,287,0
3916,1508,0
4075,1575,0
5299,911,0
3601,487,0
4886,1119,0
4764,1102,0
1669,667,0
3864,905,0
4736,896,0
3516,1490,0
3478,953,0
3040,1204,0
5253,1264,0
2420,467,0
3384,188,0
4797,918,0
5102,1213,0
4923,849,0
1985,662,0
4398,1063,0
1983,445,0
5287,789,0
2217,1437,0
5260,1029,0
2974,1093,0
4687,1097,0
5322,912,0
2816,1387,0
2476,1075,0
2429,1229,0
3657,230,0
4920,169,0
3474,1072,0
2154,847,0
4758,411,0
1808,723,0
5007,295,0
4745,1327,0
4067,374,0
5006,271,0
2686,1293,0
2020,169,0
4046,1484,0
5328,1170,0
2031,1503,0
3252,184,0
2646,492,0
4095,314,0
3764,487,0
1944,277,0
3578,24,0
2004,497,0
3112,73,0
1641,1198,0
3916,286,0
5016,494,0
3926,351,0
5053,1496,0
2889,1075,0
5313,370,0
3471,503,0
1791,142,0
5283,401,0
3066,1580,0
2522,41,0
1784,1303,0
2253,1574,0
4904,290,0
4137,602,0
5338,1029,0
4485,1029,0
2219,750,0
4106,1433,0
2418,19,0
3663,1324,0
4649,1075,0
1791,1520,0
5277,319,0
4608,1269,0
2265,984,0
2663,155,0
2493,637,0
4195,1496,0
4923,849,0
5201,1017,0
2892,1423,0
2151,1500,0
4332,987,0
2494,169,0
2615,925,0
2111,640,0
4086,777,0
1815,773,0
2889,1075,0
1735,667,0
4610,791,0
5161,1222,0
1813,1496,0
4064,1026,0
3154,977,0
4403,200,0
2849,21,0
4937,401,0
2420,257,0
1691,578,0
3926,1496,0
5100,1357,0
3048,1057,0
1866,169,0
4630,667,0
3351,85,0
2511,247,0
1839,1519,0
3551,445,0
3778,929,0
3933,802,0
4452,191,0
1633,748,0
5077,139,0
2245,1198,0
4186,96,0
1624,802,0
3280,1574,0
1906,445,0
1967,860,0
1885,309,0
2719,94,0
1743,1423,0
5390,159,0
3353,1017,0
3857,1098,0
1853,1179,0
2504,1269,0
2874,94,0
2716,274,0
5399,1029,0
4940,1574,0
4236,575,0
4164,33,0
2483,1036,0
2502,157,0
3536,159,0
5226,169,0
4864,627,0
1699,1115,0
4019,445,0
1712,1029,0
2098,430,0
5081,119,0
1920,1423,0
5149,68,0
4480,1077,0
2502,637,0
4148,1049,0
3638,1143,0
5077,889,0
2768,1372,0
4719,196,0
3122,1496,0
3674,793,0
5077,1170,0
4440,246,0
3029,1423,0
3860,517,0
4046,126,0
2645,160,0
3042,1470,0
4701,305,0
4046,627,0
2676,470,0
2106,1490,0
2063,445,0
2674,342,0
2691,802,0
2905,1433,0
4284,984,0
1712,914,0
4368,438,0
2642,660,0
3439,771,0
3115,612,0
4933,355,0
4745,126,0
1620,999,0
5285,870,0
5289,507,0
2119,218,0
2596,1580,0
2740,1075,0
3487,1029,0
2614,1057,0
5213,1016,0
3328,203,0
3171,658,0
2191,1104,0
3801,159,0
1882,207,0
4737,519,0
3653,667,0
3527,1026,0
4627,989,0
3029,1536,0
4466,1075,0
3727,496,0
1772,10,0
2000,936,0
4331,726,0
2713,445,0
2969,1029,0
4438,1057,0
4606,218,0
3425,1029,0
3156,667,0
3941,886,0
2285,905,0
5213,944,0
5309,1238,0
4261,355,0
1988,1051,0
2177,672,0
1757,61,0
1974,1350,0
4573,1197,0
2889,1075,0
2337,501,0
2115,1361,0
2481,94,0
4137,486,0
4249,958,0
4768,1528,0
2506,1108,0
3043,1433,0
3098,1012,0
2794,414,0
3479,593,0
5081,212,0
4663,1574,0
2815,848,0
1642,1012,0
4105,244,0
1746,615,0
2266,1574,0
4935,21,0
2685,355,0
2974,101,0
2962,121,0
2567,771,0
3847,21,0
4647,1301,0
1718,1202,0
2778,1051,0
3048,995,0
3777,145,0
1907,1075,0
3844,116,0
3163,1275,0
4112,871,0
4369,405,0
2284,774,0
1834,68,0
4967,528,0
4342,732,0
2073,1023,0
4811,1100,0
5038,734,0
2603,965,0
3571,1290,0
2146,1029,0
4430,22,0
2740,1075,0
2166,1089,0
2286,41,0
2328,112,0
5194,215,0
2548,123,0
4633,1496,0
3150,1337,0
4689,1246,0
5244,164,0
3653,355,0
2037,1153,0
3324,1424,0
3859,802,0
5122,469,0
3242,5,0
3683,802,0
3598,317,0
1832,6,0
3376,206,0
3229,14,0
4246,691,0
1775,1100,0
2432,870,0
1794,1443,0
1677,1422,0
2996,1229,0
3576,1075,0
