reviewerID,asin
3170,562
2584,563
3601,704
316,305
2710,361
3020,343
1410,182
17,808
3244,500
3103,59
3757,1572
2109,420
3808,630
1279,361
1116,975
2645,735
330,312
3135,282
2693,1340
3061,1256
3079,987
2328,550
2425,571
20,549
611,81
1753,201
2023,862
2638,550
3191,901
2592,1340
101,657
2140,1079
3553,1044
2931,268
2390,596
106,72
1706,825
3572,428
763,657
2044,613
3406,315
1314,1508
1594,1034
801,1419
706,128
438,550
2066,4
356,361
229,1055
758,3
190,304
993,550
3334,554
2104,1557
1675,1316
451,808
345,1340
2901,630
1658,1305
2169,1539
2605,808
3092,1061
232,571
2897,865
1896,358
79,953
1420,596
1257,499
3409,345
2381,680
1471,185
2607,116
478,1362
2160,1185
3173,603
645,816
801,100
3678,1180
3472,716
2327,81
854,983
3627,886
3530,808
2900,571
713,1470
2080,947
511,234
2979,991
1715,1040
2214,808
3504,261
1577,450
2710,1340
3684,248
2897,630
547,1247
3630,1058
167,345
2225,172
3552,729
3266,1217
993,550
3213,808
1555,513
1883,434
2493,1088
1781,910
1240,81
976,846
870,630
1303,266
2887,3
593,976
2946,1413
810,1204
2104,104
758,4
2280,1070
3193,1345
134,1079
30,1265
339,310
248,690
1019,951
2211,68
3178,86
2194,734
773,406
816,827
1836,361
3714,1340
3723,727
1126,1552
2296,1535
2163,379
1186,608
3252,130
2933,648
2747,185
3532,724
1709,1389
1827,202
540,1496
1908,406
3104,1034
418,1579
2505,256
3228,242
3657,1131
3634,103
845,1046
3255,1552
2945,484
2855,1038
150,844
1318,212
1369,1258
696,1091
1243,597
1885,382
1349,303
920,343
3008,896
1218,193
850,1403
2219,1156
2758,1290
746,388
546,1560
323,948
3030,1245
204,1345
2118,361
1045,72
897,499
2645,241
3013,1345
1162,241
438,550
1350,1497
311,1205
1658,1124
1569,81
3129,53
1379,361
277,361
774,1334
548,1314
3019,1490
770,1352
1779,1188
3246,369
1337,1504
3452,1433
2728,241
3057,1345
2699,249
2265,612
2645,1428
232,322
227,300
1604,1044
2435,81
2227,340
2763,1486
3652,330
1845,81
1639,1344
2542,1171
51,717
2913,891
3551,1416
2952,62
922,983
3513,1519
3272,630
1300,1061
2640,343
2120,903
438,550
1080,1124
311,1548
736,760
1836,361
3523,143
953,1552
3512,1134
2947,657
610,108
2975,864
289,1313
1383,1058
