,number,value,datetime_start,datetime_complete,duration,params_alpha,params_beta,state
0,0,-0.28004810490502263,2020-07-11 12:50:53.916359,2020-07-11 12:57:31.310674,0 days 00:06:37.394315000,0.1824312799222676,0.0691607832502093,COMPLETE
1,1,-0.2770352299189072,2020-07-11 12:57:31.311572,2020-07-11 13:04:37.745843,0 days 00:07:06.434271000,0.009532866022159858,0.16289813379607315,COMPLETE
2,2,-0.20515252853127994,2020-07-11 13:04:37.746941,2020-07-11 13:12:20.685738,0 days 00:07:42.938797000,0.9282436921899263,0.4173602278676661,COMPLETE
3,3,-0.25298732608024144,2020-07-11 13:12:20.686903,2020-07-11 13:19:29.206162,0 days 00:07:08.519259000,0.015148139013068884,0.3573304184082263,COMPLETE
4,4,-0.20571843525801287,2020-07-11 13:19:29.207208,2020-07-11 13:26:38.975501,0 days 00:07:09.768293000,0.48399181822292936,0.3611771604211838,COMPLETE
5,5,-0.2807643320891031,2020-07-11 13:26:38.976494,2020-07-11 13:34:05.511503,0 days 00:07:26.535009000,0.5376209554035801,0.04845597632811277,COMPLETE
6,6,-0.2058211928160951,2020-07-11 13:34:05.512465,2020-07-11 13:41:27.292443,0 days 00:07:21.779978000,0.5932797016498041,0.36032913581760545,COMPLETE
7,7,-0.20193536787514632,2020-07-11 13:41:27.293141,2020-07-11 13:49:18.589270,0 days 00:07:51.296129000,0.9892334369442556,0.24089218169345183,COMPLETE
8,8,-0.2357702054266802,2020-07-11 13:49:18.590290,2020-07-11 13:56:32.019219,0 days 00:07:13.428929000,0.11574801955856107,0.2923651068838329,COMPLETE
9,9,-0.21798322870638748,2020-07-11 13:56:32.019916,2020-07-11 14:04:13.689547,0 days 00:07:41.669631000,0.8119939149042842,0.10744191614551202,COMPLETE
10,10,-0.28018157487111744,2020-07-11 14:04:13.690353,2020-07-11 14:11:35.437839,0 days 00:07:21.747486000,0.3895109878242531,0.05397878708435305,COMPLETE
11,11,-0.27802473836840835,2020-07-11 14:11:35.438497,2020-07-11 14:18:56.026564,0 days 00:07:20.588067000,0.38009955092517317,0.024897750428221364,COMPLETE
12,12,-0.26113151167268384,2020-07-11 14:18:56.027496,2020-07-11 14:26:19.821091,0 days 00:07:23.793595000,0.323801815835765,0.16009944715370383,COMPLETE
13,13,-0.2776837890237395,2020-07-11 14:26:19.822231,2020-07-11 14:33:52.785345,0 days 00:07:32.963114000,0.6529577926840198,0.012624907118318741,COMPLETE
14,14,-0.2770860206921773,2020-07-11 14:33:52.786007,2020-07-11 14:41:27.167609,0 days 00:07:34.381602000,0.725854277957565,0.006093562371574789,COMPLETE
15,15,-0.26143945293439763,2020-07-11 14:41:27.168562,2020-07-11 14:48:39.491033,0 days 00:07:12.322471000,0.44524557617594407,0.10634094169815905,COMPLETE
16,16,-0.24527903480134353,2020-07-11 14:48:39.492037,2020-07-11 14:55:48.878753,0 days 00:07:09.386716000,0.27058370486734395,0.18569412074230604,COMPLETE
17,17,-0.2631467298940656,2020-07-11 14:55:48.879493,2020-07-11 15:03:05.232208,0 days 00:07:16.352715000,0.5666867096871506,0.06613381666750023,COMPLETE
18,18,-0.25245628015606003,2020-07-11 15:03:05.233126,2020-07-11 15:10:03.963309,0 days 00:06:58.730183000,0.2182206438508511,0.21863342242639638,COMPLETE
19,19,-0.26110735941686314,2020-07-11 15:10:03.964398,2020-07-11 15:17:16.613037,0 days 00:07:12.648639000,0.40568091552841967,0.11288611461404788,COMPLETE
